"personefullname","total_orders","avg_orders","total_spending","last_orderdate"
"Chloe Thompson","2","44.90","89.79","4234 days"
"Joe Raman","2","62.96","125.93","4136 days"
"Joe Raman","2","62.96","125.93","4136 days"
"Chloe Garcia","2","76.49","152.99","4402 days"
"Chloe Garcia","2","76.49","152.99","4402 days"
"Joe Subram","1","2763.57","2763.57","4504 days"
"Chloe Robinson","1","2577.17","2577.17","4482 days"
"Chloe Clark","3","2369.97","7109.91","4235 days"
"Chloe Clark","3","2369.97","7109.91","4235 days"
"Chloe Clark","3","2369.97","7109.91","4235 days"
"Joe Mehta","3","2406.42","7219.27","4225 days"
"Joe Mehta","3","2406.42","7219.27","4225 days"
"Joe Mehta","3","2406.42","7219.27","4225 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Joe Belson","17","57.38","975.38","4145 days"
"Chloe Rodriguez","1","2560.25","2560.25","4524 days"
"Cindy Lewis","1","2621.02","2621.02","4499 days"
"Joe Lopez","1","2566.12","2566.12","4502 days"
"Chloe Lee","2","67.54","135.08","4143 days"
"Chloe Lee","2","67.54","135.08","4143 days"
"Chloe Walker","2","31.22","62.44","4315 days"
"Chloe Walker","2","31.22","62.44","4315 days"
"Marshall Sun","3","2422.45","7267.36","4224 days"
"Marshall Sun","3","2422.45","7267.36","4224 days"
"Marshall Sun","3","2422.45","7267.36","4224 days"
"Joe Martinez","3","2422.08","7266.25","4234 days"
"Joe Martinez","3","2422.08","7266.25","4234 days"
"Joe Martinez","3","2422.08","7266.25","4234 days"
"Chloe Hall","3","2427.89","7283.68","4225 days"
"Chloe Hall","3","2427.89","7283.68","4225 days"
"Chloe Hall","3","2427.89","7283.68","4225 days"
"Julia Smith","3","2384.82","7154.46","4242 days"
"Julia Smith","3","2384.82","7154.46","4242 days"
"Julia Smith","3","2384.82","7154.46","4242 days"
"Joe Gonzalez","3","2418.22","7254.65","4207 days"
"Joe Gonzalez","3","2418.22","7254.65","4207 days"
"Joe Gonzalez","3","2418.22","7254.65","4207 days"
"Julia Johnston","3","2383.60","7150.81","4209 days"
"Julia Johnston","3","2383.60","7150.81","4209 days"
"Julia Johnston","3","2383.60","7150.81","4209 days"
"Julia Williams","3","2386.28","7158.85","4205 days"
"Julia Williams","3","2386.28","7158.85","4205 days"
"Julia Williams","3","2386.28","7158.85","4205 days"
"Joe Sanchez","3","2403.58","7210.74","4210 days"
"Joe Sanchez","3","2403.58","7210.74","4210 days"
"Joe Sanchez","3","2403.58","7210.74","4210 days"
"Julia Jones","3","2392.43","7177.30","4213 days"
"Julia Jones","3","2392.43","7177.30","4213 days"
"Julia Jones","3","2392.43","7177.30","4213 days"
"Joe Perez","3","2390.97","7172.91","4208 days"
"Joe Perez","3","2390.97","7172.91","4208 days"
"Joe Perez","3","2390.97","7172.91","4208 days"
"Julia Brown","3","2376.23","7128.70","4203 days"
"Julia Brown","3","2376.23","7128.70","4203 days"
"Julia Brown","3","2376.23","7128.70","4203 days"
"Joe Martin","1","2602.25","2602.25","4500 days"
"Joe Gomez","1","2623.52","2623.52","4502 days"
"Joe Diaz","3","2371.08","7113.25","4206 days"
"Joe Diaz","3","2371.08","7113.25","4206 days"
"Joe Diaz","3","2371.08","7113.25","4206 days"
"Julia Davis","3","2444.47","7333.42","4207 days"
"Julia Davis","3","2444.47","7333.42","4207 days"
"Julia Davis","3","2444.47","7333.42","4207 days"
"Joe Hernandez","1","2597.81","2597.81","4429 days"
"Marshall Zhu","1","2630.42","2630.42","4508 days"
"Joe Ashe","2","1719.56","3439.12","4232 days"
"Joe Ashe","2","1719.56","3439.12","4232 days"
"Joe Jimenez","2","26.51","53.02","4292 days"
"Joe Jimenez","2","26.51","53.02","4292 days"
"Joe Moreno","3","2399.80","7199.41","4210 days"
"Joe Moreno","3","2399.80","7199.41","4210 days"
"Joe Moreno","3","2399.80","7199.41","4210 days"
"Julia Miller","2","63.52","127.03","4220 days"
"Julia Miller","2","63.52","127.03","4220 days"
"Julia Wilson","3","2437.19","7311.58","4206 days"
"Julia Wilson","3","2437.19","7311.58","4206 days"
"Julia Wilson","3","2437.19","7311.58","4206 days"
"Julia Moore","3","2424.49","7273.47","4199 days"
"Julia Moore","3","2424.49","7273.47","4199 days"
"Julia Moore","3","2424.49","7273.47","4199 days"
"Julia Taylor","3","2393.52","7180.56","4163 days"
"Julia Taylor","3","2393.52","7180.56","4163 days"
"Julia Taylor","3","2393.52","7180.56","4163 days"
"Julia Anderson","2","44.90","89.79","4220 days"
"Julia Anderson","2","44.90","89.79","4220 days"
"Julia Thomas","3","1844.36","5533.07","4199 days"
"Julia Thomas","3","1844.36","5533.07","4199 days"
"Julia Thomas","3","1844.36","5533.07","4199 days"
"Joe Alonso","2","68.48","136.96","4156 days"
"Joe Alonso","2","68.48","136.96","4156 days"
"Joe Romero","3","2995.04","8985.11","4375 days"
"Joe Romero","3","2995.04","8985.11","4375 days"
"Joe Romero","3","2995.04","8985.11","4375 days"
"Joe Navarro","1","2574.63","2574.63","4505 days"
"Julia Jackson","3","3028.81","9086.44","4372 days"
"Julia Jackson","3","3028.81","9086.44","4372 days"
"Julia Jackson","3","3028.81","9086.44","4372 days"
"Judith White","3","3008.55","9025.65","4364 days"
"Judith White","3","3008.55","9025.65","4364 days"
"Judith White","3","3008.55","9025.65","4364 days"
"Julia Harris","3","3023.10","9069.29","4371 days"
"Julia Harris","3","3023.10","9069.29","4371 days"
"Julia Harris","3","3023.10","9069.29","4371 days"
"Julia Martin","3","2979.09","8937.28","4381 days"
"Julia Martin","3","2979.09","8937.28","4381 days"
"Julia Martin","3","2979.09","8937.28","4381 days"
"Joe Gutierrez","3","3038.02","9114.06","4367 days"
"Joe Gutierrez","3","3038.02","9114.06","4367 days"
"Joe Gutierrez","3","3038.02","9114.06","4367 days"
"Julia Thompson","3","43.07","129.21","4447 days"
"Julia Thompson","3","43.07","129.21","4447 days"
"Julia Thompson","3","43.07","129.21","4447 days"
"Julia Garcia","3","3003.03","9009.09","4346 days"
"Julia Garcia","3","3003.03","9009.09","4346 days"
"Julia Garcia","3","3003.03","9009.09","4346 days"
"Joe Torres","3","2994.19","8982.57","4357 days"
"Joe Torres","3","2994.19","8982.57","4357 days"
"Joe Torres","3","2994.19","8982.57","4357 days"
"Joe Dominguez","1","2598.92","2598.92","4515 days"
"Julia Martinez","1","2622.11","2622.11","4510 days"
"Marshall Gao","1","2547.00","2547.00","4497 days"
"Joe Gill","2","111.92","223.84","4147 days"
"Joe Gill","2","111.92","223.84","4147 days"
"Julia Robinson","2","44.90","89.79","4260 days"
"Julia Robinson","2","44.90","89.79","4260 days"
"Joe Vazquez","2","58.43","116.85","4145 days"
"Joe Vazquez","2","58.43","116.85","4145 days"
"Joe Blanco","3","41.75","125.26","4241 days"
"Joe Blanco","3","41.75","125.26","4241 days"
"Joe Blanco","3","41.75","125.26","4241 days"
"Julia Rodriguez","3","2984.99","8954.98","4367 days"
"Julia Rodriguez","3","2984.99","8954.98","4367 days"
"Julia Rodriguez","3","2984.99","8954.98","4367 days"
"Julia Lewis","3","3007.64","9022.93","4345 days"
"Julia Lewis","3","3007.64","9022.93","4345 days"
"Julia Lewis","3","3007.64","9022.93","4345 days"
"Joe Serrano","3","40.60","121.80","4187 days"
"Joe Serrano","3","40.60","121.80","4187 days"
"Joe Serrano","3","40.60","121.80","4187 days"
"Julia Lee","3","3018.12","9054.37","4356 days"
"Julia Lee","3","3018.12","9054.37","4356 days"
"Julia Lee","3","3018.12","9054.37","4356 days"
"Joe Ramos","3","70.68","212.05","4289 days"
"Joe Ramos","3","70.68","212.05","4289 days"
"Joe Ramos","3","70.68","212.05","4289 days"
"Joe Carlson","3","34.69","104.08","4375 days"
"Joe Carlson","3","34.69","104.08","4375 days"
"Joe Carlson","3","34.69","104.08","4375 days"
"Julia Walker","3","2971.72","8915.17","4347 days"
"Julia Walker","3","2971.72","8915.17","4347 days"
"Julia Walker","3","2971.72","8915.17","4347 days"
"Julia Hall","3","3005.25","9015.74","4350 days"
"Julia Hall","3","3005.25","9015.74","4350 days"
"Julia Hall","3","3005.25","9015.74","4350 days"
"Jennifer Smith","3","3008.93","9026.78","4359 days"
"Jennifer Smith","3","3008.93","9026.78","4359 days"
"Jennifer Smith","3","3008.93","9026.78","4359 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Joe Sanz","17","59.36","1009.16","4129 days"
"Jennifer Johnson","3","21.34","64.03","4156 days"
"Jennifer Johnson","3","21.34","64.03","4156 days"
"Jennifer Johnson","3","21.34","64.03","4156 days"
"Joe Rubio","3","3021.81","9065.44","4348 days"
"Joe Rubio","3","3021.81","9065.44","4348 days"
"Joe Rubio","3","3021.81","9065.44","4348 days"
"Jennifer Williams","2","57.60","115.21","4419 days"
"Jennifer Williams","2","57.60","115.21","4419 days"
"Roy Suri","2","1718.72","3437.45","4212 days"
"Roy Suri","2","1718.72","3437.45","4212 days"
"Jennifer Jones","2","1733.37","3466.74","4210 days"
"Jennifer Jones","2","1733.37","3466.74","4210 days"
"Roy Kapoor","2","1700.93","3401.86","4197 days"
"Roy Kapoor","2","1700.93","3401.86","4197 days"
"Jennifer Brown","2","71.25","142.50","4149 days"
"Jennifer Brown","2","71.25","142.50","4149 days"
"Roy Chandra","2","84.78","169.56","4167 days"
"Roy Chandra","2","84.78","169.56","4167 days"
"Jennifer Davis","2","110.65","221.31","4301 days"
"Jennifer Davis","2","110.65","221.31","4301 days"
"Jennifer Miller","2","1755.17","3510.34","4206 days"
"Jennifer Miller","2","1755.17","3510.34","4206 days"
"Jennifer Wilson","2","1761.52","3523.05","4200 days"
"Jennifer Wilson","2","1761.52","3523.05","4200 days"
"Jennifer Moore","3","2469.34","7408.01","4197 days"
"Jennifer Moore","3","2469.34","7408.01","4197 days"
"Jennifer Moore","3","2469.34","7408.01","4197 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Jennifer Taylor","28","46.94","1314.21","4149 days"
"Roy Patel","3","2987.19","8961.57","4350 days"
"Roy Patel","3","2987.19","8961.57","4350 days"
"Roy Patel","3","2987.19","8961.57","4350 days"
"Jennifer Anderson","3","3012.97","9038.90","4363 days"
"Jennifer Anderson","3","3012.97","9038.90","4363 days"
"Jennifer Anderson","3","3012.97","9038.90","4363 days"
"Jennifer Thomas","3","86.89","260.66","4146 days"
"Jennifer Thomas","3","86.89","260.66","4146 days"
"Jennifer Thomas","3","86.89","260.66","4146 days"
"Roy Vance","3","3004.87","9014.60","4346 days"
"Roy Vance","3","3004.87","9014.60","4346 days"
"Roy Vance","3","3004.87","9014.60","4346 days"
"Jennifer Jackson","3","2969.89","8909.66","4311 days"
"Jennifer Jackson","3","2969.89","8909.66","4311 days"
"Jennifer Jackson","3","2969.89","8909.66","4311 days"
"Roy Malhotra","3","2983.14","8949.43","4317 days"
"Roy Malhotra","3","2983.14","8949.43","4317 days"
"Roy Malhotra","3","2983.14","8949.43","4317 days"
"Jennifer White","3","32.77","98.30","4233 days"
"Jennifer White","3","32.77","98.30","4233 days"
"Jennifer White","3","32.77","98.30","4233 days"
"Jennifer Harris","3","3026.22","9078.67","4340 days"
"Jennifer Harris","3","3026.22","9078.67","4340 days"
"Jennifer Harris","3","3026.22","9078.67","4340 days"
"Roy Sai","3","3010.21","9030.62","4303 days"
"Roy Sai","3","3010.21","9030.62","4303 days"
"Roy Sai","3","3010.21","9030.62","4303 days"
"Jennifer Thompson","3","3043.36","9130.08","4342 days"
"Jennifer Thompson","3","3043.36","9130.08","4342 days"
"Jennifer Thompson","3","3043.36","9130.08","4342 days"
"Jennifer Garcia","3","37.91","113.72","4179 days"
"Jennifer Garcia","3","37.91","113.72","4179 days"
"Jennifer Garcia","3","37.91","113.72","4179 days"
"Roy Arun","3","3013.89","9041.66","4365 days"
"Roy Arun","3","3013.89","9041.66","4365 days"
"Roy Arun","3","3013.89","9041.66","4365 days"
"Jennifer Robinson","3","3010.40","9031.20","4356 days"
"Jennifer Robinson","3","3010.40","9031.20","4356 days"
"Jennifer Robinson","3","3010.40","9031.20","4356 days"
"Jennifer Clark","3","2982.02","8946.07","4366 days"
"Jennifer Clark","3","2982.02","8946.07","4366 days"
"Jennifer Clark","3","2982.02","8946.07","4366 days"
"Jennifer Rodriguez","3","2975.78","8927.35","4356 days"
"Jennifer Rodriguez","3","2975.78","8927.35","4356 days"
"Jennifer Rodriguez","3","2975.78","8927.35","4356 days"
"Roy Madan","3","3009.66","9028.97","4350 days"
"Roy Madan","3","3009.66","9028.97","4350 days"
"Roy Madan","3","3009.66","9028.97","4350 days"
"Jennifer Lewis","3","2992.35","8977.06","4348 days"
"Jennifer Lewis","3","2992.35","8977.06","4348 days"
"Jennifer Lewis","3","2992.35","8977.06","4348 days"
"Roy Srini","3","3036.91","9110.74","4347 days"
"Roy Srini","3","3036.91","9110.74","4347 days"
"Roy Srini","3","3036.91","9110.74","4347 days"
"Jennifer Lee","3","2980.93","8942.80","4290 days"
"Jennifer Lee","3","2980.93","8942.80","4290 days"
"Jennifer Lee","3","2980.93","8942.80","4290 days"
"Jennifer Walker","3","2997.13","8991.39","4288 days"
"Jennifer Walker","3","2997.13","8991.39","4288 days"
"Jennifer Walker","3","2997.13","8991.39","4288 days"
"Marshall Liang","3","3055.33","9166.00","4277 days"
"Marshall Liang","3","3055.33","9166.00","4277 days"
"Marshall Liang","3","3055.33","9166.00","4277 days"
"Roy Saunders","3","40.47","121.42","4411 days"
"Roy Saunders","3","40.47","121.42","4411 days"
"Roy Saunders","3","40.47","121.42","4411 days"
"Jennifer Hall","3","45.26","135.79","4162 days"
"Jennifer Hall","3","45.26","135.79","4162 days"
"Jennifer Hall","3","45.26","135.79","4162 days"
"Karen Smith","3","41.88","125.65","4155 days"
"Karen Smith","3","41.88","125.65","4155 days"
"Karen Smith","3","41.88","125.65","4155 days"
"Roy Rana","3","54.77","164.31","4233 days"
"Roy Rana","3","54.77","164.31","4233 days"
"Roy Rana","3","54.77","164.31","4233 days"
"Kaitlyn Johnson","3","3014.80","9044.41","4346 days"
"Kaitlyn Johnson","3","3014.80","9044.41","4346 days"
"Kaitlyn Johnson","3","3014.80","9044.41","4346 days"
"Roy Raman","3","45.60","136.80","4131 days"
"Roy Raman","3","45.60","136.80","4131 days"
"Roy Raman","3","45.60","136.80","4131 days"
"Roy Subram","2","47.08","94.17","4195 days"
"Roy Subram","2","47.08","94.17","4195 days"
"Kaitlyn Williams","3","3035.98","9107.95","4260 days"
"Kaitlyn Williams","3","3035.98","9107.95","4260 days"
"Kaitlyn Williams","3","3035.98","9107.95","4260 days"
"Kaitlyn Jones","3","21.42","64.27","4214 days"
"Kaitlyn Jones","3","21.42","64.27","4214 days"
"Kaitlyn Jones","3","21.42","64.27","4214 days"
"Roy Mehta","3","15.81","47.44","4288 days"
"Roy Mehta","3","15.81","47.44","4288 days"
"Roy Mehta","3","15.81","47.44","4288 days"
"Kaitlyn Brown","3","55.19","165.57","4132 days"
"Kaitlyn Brown","3","55.19","165.57","4132 days"
"Kaitlyn Brown","3","55.19","165.57","4132 days"
"Roy Garcia","3","2994.19","8982.57","4353 days"
"Roy Garcia","3","2994.19","8982.57","4353 days"
"Roy Garcia","3","2994.19","8982.57","4353 days"
"Kaitlyn Miller","3","29.35","88.06","4338 days"
"Kaitlyn Miller","3","29.35","88.06","4338 days"
"Kaitlyn Miller","3","29.35","88.06","4338 days"
"Roy Fernandez","3","1831.49","5494.47","4215 days"
"Roy Fernandez","3","1831.49","5494.47","4215 days"
"Roy Fernandez","3","1831.49","5494.47","4215 days"
"Kaitlyn Wilson","2","24.30","48.60","4248 days"
"Kaitlyn Wilson","2","24.30","48.60","4248 days"
"Roy Lopez","2","79.53","159.05","4298 days"
"Roy Lopez","2","79.53","159.05","4298 days"
"Kaitlyn Moore","2","3244.98","6489.95","4513 days"
"Kaitlyn Moore","2","3244.98","6489.95","4513 days"
"Roy Martinez","1","41.21","41.21","4179 days"
"Kaitlyn Taylor","5","36.67","183.33","4134 days"
"Kaitlyn Taylor","5","36.67","183.33","4134 days"
"Kaitlyn Taylor","5","36.67","183.33","4134 days"
"Kaitlyn Taylor","5","36.67","183.33","4134 days"
"Kaitlyn Taylor","5","36.67","183.33","4134 days"
"Kaitlyn Anderson","1","2620.99","2620.99","4423 days"
"Kaitlyn Thomas","1","79.52","79.52","4158 days"
"Marshall Guo","3","1809.19","5427.57","4215 days"
"Marshall Guo","3","1809.19","5427.57","4215 days"
"Marshall Guo","3","1809.19","5427.57","4215 days"
"Roy Gonzalez","1","2580.14","2580.14","4414 days"
"Roy Sanchez","1","2630.42","2630.42","4519 days"
"Kaitlyn Jackson","2","111.92","223.84","4137 days"
"Kaitlyn Jackson","2","111.92","223.84","4137 days"
"Kaitlyn White","2","43.63","87.26","4157 days"
"Kaitlyn White","2","43.63","87.26","4157 days"
"Kaitlyn Harris","2","46.39","92.79","4232 days"
"Kaitlyn Harris","2","46.39","92.79","4232 days"
"Roy Perez","1","44.19","44.19","4444 days"
"Kaitlyn Martin","2","62.96","125.93","4251 days"
"Kaitlyn Martin","2","62.96","125.93","4251 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Kaitlyn Thompson","17","63.75","1083.75","4144 days"
"Roy Martin","2","26.83","53.66","4169 days"
"Roy Martin","2","26.83","53.66","4169 days"
"Roy Ruiz","1","2651.97","2651.97","4497 days"
"Kaitlyn Garcia","1","2552.52","2552.52","4497 days"
"Kaitlyn Martinez","3","41.60","124.79","4264 days"
"Kaitlyn Martinez","3","41.60","124.79","4264 days"
"Kaitlyn Martinez","3","41.60","124.79","4264 days"
"Roy Hernandez","3","3018.68","9056.03","4233 days"
"Roy Hernandez","3","3018.68","9056.03","4233 days"
"Roy Hernandez","3","3018.68","9056.03","4233 days"
"Kaitlyn Robinson","3","46.50","139.50","4185 days"
"Kaitlyn Robinson","3","46.50","139.50","4185 days"
"Kaitlyn Robinson","3","46.50","139.50","4185 days"
"Kaitlyn Clark","3","15.20","45.59","4189 days"
"Kaitlyn Clark","3","15.20","45.59","4189 days"
"Kaitlyn Clark","3","15.20","45.59","4189 days"
"Roy Alvarez","3","70.87","212.62","4326 days"
"Roy Alvarez","3","70.87","212.62","4326 days"
"Roy Alvarez","3","70.87","212.62","4326 days"
"Kaitlyn Rodriguez","3","2978.83","8936.48","4229 days"
"Kaitlyn Rodriguez","3","2978.83","8936.48","4229 days"
"Kaitlyn Rodriguez","3","2978.83","8936.48","4229 days"
"Damien Shen","1","2535.96","2535.96","4513 days"
"Marshall He","2","60.65","121.30","4434 days"
"Marshall He","2","60.65","121.30","4434 days"
"Roy Jimenez","1","2563.59","2563.59","4512 days"
"Roy Moreno","1","2563.59","2563.59","4516 days"
"Kaitlyn Lewis","1","2640.92","2640.92","4514 days"
"Kaitlyn Lee","2","22.81","45.61","4268 days"
"Kaitlyn Lee","2","22.81","45.61","4268 days"
"Roy Alonso","1","2647.54","2647.54","4503 days"
"Roy Romero","2","26.83","53.66","4211 days"
"Roy Romero","2","26.83","53.66","4211 days"
"Roy Navarro","1","2566.12","2566.12","4470 days"
"Karen Walker","2","51.91","103.81","4207 days"
"Karen Walker","2","51.91","103.81","4207 days"
"Kaitlyn Hall","1","2574.63","2574.63","4473 days"
"Roy Torres","2","25.56","51.13","4305 days"
"Roy Torres","2","25.56","51.13","4305 days"
"Morgan Smith","2","79.98","159.96","4305 days"
"Morgan Smith","2","79.98","159.96","4305 days"
"Morgan Johnson","2","56.63","113.25","4366 days"
"Morgan Johnson","2","56.63","113.25","4366 days"
"Morgan Williams","2","48.60","97.20","4182 days"
"Morgan Williams","2","48.60","97.20","4182 days"
"Morgan Jones","2","1727.30","3454.59","4190 days"
"Morgan Jones","2","1727.30","3454.59","4190 days"
"Roy Dominguez","2","1732.97","3465.93","4202 days"
"Roy Dominguez","2","1732.97","3465.93","4202 days"
"Roy Gill","2","44.90","89.79","4255 days"
"Roy Gill","2","44.90","89.79","4255 days"
"Morgan Brown","2","86.87","173.74","4159 days"
"Morgan Brown","2","86.87","173.74","4159 days"
"Roy Vazquez","3","2473.93","7421.79","4211 days"
"Roy Vazquez","3","2473.93","7421.79","4211 days"
"Roy Vazquez","3","2473.93","7421.79","4211 days"
"Roy Blanco","2","71.24","142.48","4146 days"
"Roy Blanco","2","71.24","142.48","4146 days"
"Roy Serrano","2","56.63","113.25","4164 days"
"Roy Serrano","2","56.63","113.25","4164 days"
"Roy Ramos","2","26.83","53.66","4316 days"
"Roy Ramos","2","26.83","53.66","4316 days"
"Morgan Davis","3","2471.72","7415.16","4215 days"
"Morgan Davis","3","2471.72","7415.16","4215 days"
"Morgan Davis","3","2471.72","7415.16","4215 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
"Morgan Miller","28","52.09","1458.61","4130 days"
